State,Year,Geothermal,Hydroelectric Conventional,Nuclear,Other_Renewables,Solar Thermal and Photovoltaic,Total,Wind,carbon_related_fuel
CA,2001,12181.294,25541.776,33219.52,204.338,542.271,198596.075,3499.738,123756.82699999999
CA,2002,13073.615,31140.628,34352.34,398.108,554.372,184210.031,3802.645,101129.32
CA,2003,12981.763,36370.704,35593.789,281.495,533.606,192788.542,3895.431,104044.06799999998
CA,2004,13105.306,34140.929,30267.887,428.567,570.89,194780.355,4305.875,112777.731
CA,2005,13022.639,39631.867,36154.898,419.508,536.713,200292.818,4262.229,106145.17
CA,2006,12821.434,48047.38,31958.621,464.077,494.572,216798.688,4882.801,118033.66599999998
CA,2007,12990.711,27327.751,35792.49,421.447,556.969,210847.581,5584.933,127863.5
CA,2008,12883.0,24127.81,32482.351,570.311,670.481,207984.263,5384.955,131544.09199999998
CA,2009,12852.783,27888.036,31763.804,752.687,647.39,204776.132,5839.813,124878.77
CA,2010,12600.098,33430.87,32200.757,839.048,769.331,204125.596,6078.632,118378.124
NY,2001,0.0,23083.955,40394.985,809.3,0.0,143914.559,20.539,80536.29999999999
NY,2002,0.0,25047.895,39617.491,815.443,0.0,139591.688,81.626,74950.456
NY,2003,0.0,24268.66,40679.205,842.742,0.0,137643.316,41.201,72723.314
NY,2004,0.0,23989.661,40640.305,884.375,0.0,137964.794,116.45,73147.173
NY,2005,0.0,25782.518,42443.152,970.907,0.0,146887.419,102.99,78368.583
NY,2006,0.0,27344.655,42223.899,976.636,0.0,142265.432,655.371,71821.02699999999
NY,2007,0.0,25252.555,42452.854,932.292,0.0,145878.687,833.476,77175.88900000001
NY,2008,0.0,26723.131,43209.171,987.366,0.0,140322.1,1250.7,68823.87
NY,2009,0.0,27615.106,43484.614,877.433,0.0,133150.55,2266.339,59387.445
NY,2010,0.0,25471.697,41869.535,831.851,0.0,136961.654,2596.154,66721.68000000001
TX,2001,0.0,1200.332,38162.863,1447.232,0.0,372580.002,1187.51,330582.07
TX,2002,0.0,1123.492,35618.004,1957.186,0.0,385628.542,2656.104,344273.75600000005
TX,2003,0.0,896.539,33437.484,484.32,0.0,379199.685,2569.853,341811.48899999994
TX,2004,0.0,1300.609,40435.372,744.556,0.0,390299.132,3137.69,344680.905
TX,2005,0.0,1332.56,38232.493,890.313,0.0,396668.722,4237.209,351976.14699999994
TX,2006,0.0,661.971,41264.278,989.208,0.0,400582.878,6670.515,350996.905
TX,2007,0.0,1644.437,40955.03,884.932,0.0,405492.296,9006.383,353001.51399999997
TX,2008,0.0,1039.467,40727.37,568.905,0.0,404787.781,16225.022,346227.017
TX,2009,0.0,1028.657,41497.617,310.169,0.0,397167.91,20026.103,334305.36400000006
TX,2010,0.0,1261.832,41335.248,339.017,8.208,411695.046,26251.41,342499.33100000006
