state,year,wind_gwh,solar_gwh,total_gen_gwh,co2_tons,gdp_capita,income_pc,unemployment,rps_enact,rps_eff,deregulation,disc_enact,disc_eff,sale_tax,corp_tax,prop_tax,wind_solar_gwh,renewable_share
AK,2001,950.0,0.0,4906385.0,4590847.0,40690.0,31666.0,6.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,950.0,0.00019362524547095265
AK,2002,0.0,0.0,4535167.0,4412585.0,43622.0,32258.0,7.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AK,2003,0.0,0.0,4774223.0,3947059.0,42130.0,32570.0,7.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AK,2004,0.0,0.0,4968221.0,4730932.0,43781.0,33941.0,7.3999999999999995,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AK,2005,589.0,0.0,5117377.0,4323457.0,43864.0,36084.0,6.8999999999999995,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,589.0,0.00011509802775914301
AK,2006,788.001,0.0,5498773.0,4584739.0,45136.0,38344.0,6.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,788.001,0.00014330487910666615
AK,2007,1012.0,0.0,5511872.0,,44962.0,40042.0,6.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1012.0,0.0001836036831043972
AL,2001,0.0,0.0,79849470.0,78375702.51317641,27177.51325,25347.253,4.605058,0.0,0.0,0.0,0.074231185,1.0,0.0,0.0,0.0,0.0,0.0
AL,2002,0.0,0.0,84384587.0,81272215.26859775,27536.99175,25969.82825,5.3296732250000005,0.0,0.0,0.0,0.09814084,1.0,0.0,0.0,0.0,0.0,0.0
AL,2003,0.0,0.0,85323271.0,81323321.96451329,28224.48325,26813.91525,5.3109891750000005,0.0,0.0,0.0,0.09643147,1.0,0.0,0.0,0.0,0.0,0.0
AL,2004,0.0,0.0,82754178.0,81876194.01026602,29373.57625,28383.89125,4.9497055,0.0,0.0,0.0,0.10743977,1.0,0.0,0.0,0.0,0.0,0.0
AL,2005,0.0,0.0,83513586.0,85688744.01984954,30110.6955,29854.06875,4.008055175,0.0,0.0,0.0,0.091391385,1.0,0.0,0.0,0.0,0.0,0.0
AL,2006,0.0,0.0,83528632.0,86950909.84523909,30287.5705,31250.038249999998,3.6546735,0.0,0.0,0.0,0.11108979,1.0,0.17091173899075,0.02777457399075,0.0,0.0,0.0
AL,2007,0.0,0.0,81352185.0,,30665.605,32747.076500000003,3.69869775,0.0,0.0,0.0,0.09824232,1.0,0.1918104846325,0.024587489632499997,0.0,0.0,0.0
AR,2001,0.0,0.0,12982045.0,29092846.60515136,25226.054384615385,23244.563076923077,4.736109507692308,0.0,0.0,1.0,0.0,1.0,0.0,0.011760203076923076,0.0,0.0,0.0
AR,2002,0.0,0.0,12142797.0,28337575.980310187,25804.05615384615,23631.024769230768,5.35231523076923,0.0,0.0,1.0,0.0,1.0,0.0,0.015309296923076922,0.0,0.0,0.0
AR,2003,0.0,0.0,12737093.0,28507371.324334305,26325.280384615387,24620.119000000002,5.8669854307692315,0.0,0.0,0.0,0.0,1.0,0.0,0.011226626923076922,0.0,0.0,0.0
AR,2004,0.0,0.0,14243943.0,30383002.6847531,27322.03953846154,25979.82323076923,5.693314092307692,0.0,0.0,0.0,0.0,1.0,0.0,0.012964358461538462,0.0,0.0,0.0
AR,2005,0.0,0.0,12878631.0,28698702.762435123,27644.275153846153,27151.14523076923,5.252584176923076,0.0,0.0,0.0,0.0,1.0,0.0,0.013744832307692308,0.0,0.0,0.0
AR,2006,0.0,0.0,13585096.0,30256359.693346262,27920.235,28695.15,5.260785946153846,0.0,0.0,0.0,0.0,1.0,0.0,0.08493583615384616,0.0,0.0,0.0
AR,2007,0.0,0.0,14572269.0,,28110.67430769231,30401.270538461536,5.1103390307692305,0.0,0.0,0.0,0.0,1.0,0.0,0.11084573461538462,0.0,0.0,0.0
AZ,2001,0.0,708.0,64885291.0,40240779.05183822,31017.54225,26483.338125,4.63527645,1.0,1.0,1.0,0.0,1.0,0.773800075375,0.120944805,0.021908332875000002,708.0,1.0911563916697238e-05
AZ,2002,0.0,862.0,60720816.0,39249956.18815472,30869.7595,26792.839875,5.6976505,1.0,1.0,1.0,0.0,1.0,0.7676767205,0.21355571625000003,0.023650400499999998,862.0,1.419612015754202e-05
AZ,2003,0.0,694.0,57883904.0,39107085.93486617,27316.6854875,23647.5696625,5.0369981125,1.0,1.0,0.0,0.0,1.0,0.75878994925,0.10448311625000001,0.02149259675,694.0,1.1989516118332308e-05
AZ,2004,0.0,4562.001,61184592.0,43446334.90355301,27665.268575000002,25164.790225,4.4830052325,1.0,1.0,0.0,0.0,1.0,0.76238203675,0.09738985,0.024993784249999998,4562.001,7.456127189668929e-05
AZ,2005,0.0,21998.0,64501348.0,43004701.29576972,28890.1363625,26842.95255,4.10761099125,1.0,1.0,0.0,0.0,1.0,0.76729716175,0.092382140625,0.0250863655,21998.0,0.00034104713594512785
AZ,2006,19067.0,19278.001,66680496.0,46180162.96744615,31066.783333333333,29590.179511111113,3.7630886177777776,1.0,1.0,0.0,1.0,1.0,0.6801901026666667,0.7602535622222223,0.6977143182222222,38345.001000000004,0.0005750557254403147
AZ,2007,58596.001,8027.001,68668467.0,,30967.45607777778,30374.69332222222,3.550654851111111,1.0,1.0,0.0,1.0,1.0,0.7821056026666667,0.7531827155555555,0.6996802137777778,66623.002,0.00097021245574042
CA,2001,59396.998,2842.0,109487680.0,79112153.93174368,36003.77874137931,31621.27082758621,5.223007913793103,1.0,0.9676492,1.0,1.0,1.0,0.05366839034482758,0.07467506886078103,0.12196414381051725,62238.998,0.0005684566336596044
CA,2002,56090.001000000004,2806.0,110662402.0,70619003.21958381,36034.22203448276,31612.72275862069,6.428099268965517,1.0,1.0,1.0,1.0,1.0,0.05478337,0.16356664810685345,0.12112986996689655,58896.001000000004,0.0005322132895687553
CA,2003,267311.42,1948.0,115944154.0,67844213.90665703,36738.621366666666,32416.21183333333,6.575968361666667,1.0,1.0,1.0,1.0,1.0,0.06593406483333333,0.15914165324813334,0.11588607009016667,269259.42,0.00232231993343968
CA,2004,751598.599,1960.0,112075641.0,71476221.71202107,38163.24813333333,34251.942383333335,6.015889566666667,1.0,1.0,1.0,1.0,1.0,0.066069652742655,0.161593217242655,0.11754407779283334,753558.599,0.00672366084437563
CA,2005,1110722.9587865,2012.0,123645919.0,71932261.06185883,39251.63998275862,36048.34,5.285591587931035,1.0,1.0,1.0,1.0,1.0,0.08490288901212069,0.18399740194315517,0.1390262740212069,1112734.9587865,0.008999366641340585
