State,Year,Total carbon emissions
CA,2001,385.846
CA,2002,384.151
CA,2003,374.86
CA,2004,392.673
CA,2005,389.479
CA,2006,397.967
CA,2007,402.611
CA,2008,384.159
CA,2009,370.625
CA,2010,357.038
NY,2001,207.82
NY,2002,201.995
NY,2003,212.921
NY,2004,215.142
NY,2005,211.225
NY,2006,193.629
NY,2007,199.772
NY,2008,189.97
NY,2009,173.874
NY,2010,184.97
TX,2001,673.546
TX,2002,684.268
TX,2003,677.71
TX,2004,677.22
TX,2005,650.691
TX,2006,654.433
TX,2007,652.175
TX,2008,627.414
TX,2009,593.216
TX,2010,615.955
