State,Year,Solar generation (GWh),Wind generation (GWh)
AK,2001,0.0,0.95
AK,2005,0.0,0.589
AK,2006,0.0,0.788
AK,2007,0.0,1.012
AK,2008,0.0,0.068
AK,2009,0.0,7.027
AK,2010,0.0,12.607
AZ,2001,0.489,0.0
AZ,2002,0.459,0.0
AZ,2003,0.395,0.0
AZ,2004,4.265,0.0
AZ,2005,13.581,0.0
AZ,2006,13.134,0.0
AZ,2007,8.649,0.0
AZ,2008,14.724,0.0
AZ,2009,14.145,29.545
AZ,2010,15.754,134.916
CA,2001,542.271,3499.738
CA,2002,554.372,3802.645
CA,2003,533.606,3895.431
CA,2004,570.89,4305.875
CA,2005,536.713,4262.229
CA,2006,494.572,4882.801
CA,2007,556.969,5584.933
CA,2008,670.481,5384.955
CA,2009,647.39,5839.813
CA,2010,769.331,6078.632
CO,2001,0.0,48.64
CO,2002,0.0,139.006
CO,2003,0.0,147.109
CO,2004,0.0,220.141
CO,2005,0.0,776.234
CO,2006,0.0,865.536
CO,2007,2.208,1291.516
CO,2008,18.354,3220.843
CO,2009,25.585,3163.836
CO,2010,42.498,3451.851
DE,2010,0.0,2.556
FL,2009,9.47,0.0
FL,2010,80.44,0.0
HI,2001,0.0,2.122
HI,2002,0.0,1.614
HI,2003,0.0,1.572
HI,2004,0.0,7.495
HI,2005,0.0,6.632
HI,2006,0.0,79.674
HI,2007,0.0,238.184
HI,2008,0.018,240.023
HI,2009,1.39,251.427
HI,2010,1.77,261.12
IA,2001,0.0,487.864
IA,2002,0.0,918.835
IA,2003,0.0,981.97
IA,2004,0.0,1049.952
IA,2005,0.0,1647.134
IA,2006,0.0,2317.821
IA,2007,0.0,2756.676
IA,2008,0.0,4083.787
IA,2009,0.0,7420.52
IA,2010,0.0,9170.337
ID,2006,0.0,169.617
ID,2007,0.0,172.267
ID,2008,0.0,207.472
ID,2009,0.0,313.418
ID,2010,0.0,440.746
IL,2003,0.0,18.024
IL,2004,0.0,78.073
IL,2005,0.0,141.146
IL,2006,0.0,254.571
IL,2007,0.0,664.427
IL,2008,0.0,2336.996
IL,2009,0.016,2819.532
IL,2010,14.145,4453.634
IN,2008,0.0,238.356
IN,2009,0.0,1403.192
IN,2010,0.0,2934.043
KS,2001,0.0,39.832
KS,2002,0.0,466.679
KS,2003,0.0,365.939
KS,2004,0.0,358.632
KS,2005,0.0,425.823
KS,2006,0.0,991.89
KS,2007,0.0,1152.538
KS,2008,0.0,1759.412
KS,2009,0.0,2863.267
KS,2010,0.0,3405.065
MA,2002,0.0,0.0
MA,2008,0.08,3.672
MA,2009,0.043,5.956
MA,2010,0.928,22.068
MD,2010,0.08,1.494
ME,2007,0.0,99.071
ME,2008,0.0,131.621
ME,2009,0.0,298.623
ME,2010,0.0,499.198
MI,2001,0.0,0.28
MI,2002,0.0,0.329
MI,2003,0.0,2.66
MI,2004,0.0,1.875
MI,2005,0.0,1.848
MI,2006,0.0,2.212
MI,2007,0.0,2.723
MI,2008,0.0,141.182
MI,2009,0.0,300.172
MI,2010,0.0,360.34
MN,2001,0.0,897.018
MN,2002,0.0,905.839
MN,2003,0.0,977.76
MN,2004,0.0,812.371
MN,2005,0.0,1582.477
MN,2006,0.0,2054.947
MN,2007,0.0,2638.812
MN,2008,0.0,4354.62
MN,2009,0.0,5053.022
MN,2010,0.0,4791.723
MO,2008,0.0,203.313
MO,2009,0.0,499.377
MO,2010,0.0,925.49
MT,2006,0.0,435.97
MT,2007,0.0,495.776
MT,2008,0.0,593.138
MT,2009,0.0,820.924
MT,2010,0.0,930.233
NC,2008,1.801,0.0
NC,2009,4.563,0.0
NC,2010,11.34,0.0
ND,2003,0.0,58.878
ND,2004,0.0,214.523
ND,2005,0.0,220.345
ND,2006,0.0,369.485
ND,2007,0.0,620.772
ND,2008,0.0,1693.458
ND,2009,0.0,2997.53
ND,2010,0.0,4095.641
NE,2001,0.0,2.63
NE,2002,0.0,8.078
NE,2003,0.0,38.221
NE,2004,0.0,38.431
NE,2005,0.0,96.608
NE,2006,0.0,261.247
NE,2007,0.0,216.765
NE,2008,0.0,214.184
NE,2009,0.0,382.634
NE,2010,0.0,421.645
NH,2008,0.0,10.319
NH,2009,0.0,62.477
NH,2010,0.0,75.688
NJ,2006,0.0,15.991
NJ,2007,0.0,20.412
NJ,2008,2.669,20.885
NJ,2009,10.707,20.918
NJ,2010,21.084,12.653
NM,2003,0.0,182.735
NM,2004,0.0,513.465
NM,2005,0.0,794.63
NM,2006,0.0,1255.436
NM,2007,0.0,1393.239
NM,2008,0.0,1642.787
NM,2009,0.0,1546.718
NM,2010,8.93,1832.182
NV,2007,43.967,0.0
NV,2008,156.013,0.0
NV,2009,174.309,0.0
NV,2010,216.917,0.0
NY,2001,0.0,20.539
NY,2002,0.0,81.626
NY,2003,0.0,41.201
NY,2004,0.0,116.45
NY,2005,0.0,102.99
NY,2006,0.0,655.371
NY,2007,0.0,833.476
NY,2008,0.0,1250.7
NY,2009,0.0,2266.339
NY,2010,0.0,2596.154
OH,2005,0.0,13.268
OH,2006,0.0,14.401
OH,2007,0.0,14.748
OH,2008,0.0,15.084
OH,2009,0.0,14.114
OH,2010,12.848,12.576
OK,2003,0.0,54.47
OK,2004,0.0,572.744
OK,2005,0.0,847.773
OK,2006,0.0,1712.441
OK,2007,0.0,1849.144
OK,2008,0.0,2358.08
OK,2009,0.0,2698.199
OK,2010,0.0,3808.083
OR,2001,0.0,88.587
OR,2002,0.0,376.159
OR,2003,0.0,443.617
OR,2004,0.0,619.012
OR,2005,0.0,734.274
OR,2006,0.0,931.219
OR,2007,0.0,1246.994
OR,2008,0.0,2575.234
OR,2009,0.0,3469.714
OR,2010,0.0,3920.007
PA,2001,0.0,11.175
PA,2002,0.0,57.768
PA,2003,0.0,111.521
PA,2004,0.0,306.312
PA,2005,0.0,284.241
PA,2006,0.0,361.108
PA,2007,0.0,470.018
PA,2008,0.175,729.425
PA,2009,3.562,1074.788
PA,2010,7.91,1854.032
RI,2010,0.0,3.124
SD,2001,0.0,0.871
SD,2002,0.0,6.043
SD,2003,0.0,44.249
SD,2004,0.0,157.678
SD,2005,0.0,158.104
SD,2006,0.0,148.965
SD,2007,0.0,150.018
SD,2008,0.0,145.136
SD,2009,0.0,420.981
SD,2010,0.0,1371.75
TN,2002,0.0,4.068
TN,2003,0.0,3.933
TN,2004,0.0,3.813
TN,2005,0.0,3.339
TN,2006,0.0,54.598
TN,2007,0.0,49.937
TN,2008,0.0,50.117
TN,2009,0.0,51.747
TN,2010,0.0,40.57
TX,2001,-0.005,1187.51
TX,2002,0.0,2656.104
TX,2003,0.0,2569.853
TX,2004,0.0,3137.69
TX,2005,0.0,4237.209
TX,2006,0.0,6670.515
TX,2007,0.0,9006.383
TX,2008,0.0,16225.022
TX,2009,0.0,20026.103
TX,2010,8.208,26251.41
US-TOTAL,2001,542.755,6737.332
US-TOTAL,2002,554.831,10354.279
US-TOTAL,2003,534.001,11187.467
US-TOTAL,2004,575.155,14143.741
US-TOTAL,2005,550.294,17810.549
US-TOTAL,2006,507.706,26589.137
US-TOTAL,2007,611.793,34449.927
US-TOTAL,2008,864.315,55363.1
US-TOTAL,2009,891.179,73886.132
US-TOTAL,2010,1212.182,94652.246
UT,2008,0.0,23.9
UT,2009,0.0,159.537
UT,2010,0.0,447.68
VA,2001,0.0,0.0
VA,2002,0.0,0.0
VT,2001,0.0,12.133
VT,2002,0.0,10.372
VT,2003,0.0,10.829
VT,2004,0.0,11.364
VT,2005,0.0,11.486
VT,2006,0.0,10.688
VT,2007,0.0,10.511
VT,2008,0.0,10.235
VT,2009,0.0,11.589
VT,2010,0.0,13.892
WA,2002,0.0,416.581
WA,2003,0.0,603.674
WA,2004,0.0,736.576
WA,2005,0.0,498.47
WA,2006,0.0,1037.651
WA,2007,0.0,2437.823
WA,2008,0.0,3657.484
WA,2009,0.0,3572.486
WA,2010,0.0,4744.679
WI,2001,0.0,72.284
WI,2002,0.0,46.18
WI,2003,0.0,97.58
WI,2004,0.0,103.563
WI,2005,0.0,92.544
WI,2006,0.0,101.376
WI,2007,0.0,109.283
WI,2008,0.0,487.141
WI,2009,0.0,1051.965
WI,2010,0.0,1088.464
WV,2002,0.0,9.023
WV,2003,0.0,169.762
WV,2004,0.0,161.191
WV,2005,0.0,153.892
WV,2006,0.0,173.757
WV,2007,0.0,167.588
WV,2008,0.0,391.91
WV,2009,0.0,742.439
WV,2010,0.0,939.172
WY,2001,0.0,365.159
WY,2002,0.0,447.33
WY,2003,0.0,366.478
WY,2004,0.0,616.515
WY,2005,0.0,717.264
WY,2006,0.0,759.061
WY,2007,0.0,754.881
WY,2008,0.0,962.542
WY,2009,0.0,2226.205
WY,2010,0.0,3246.793
